,4096 halo groups,4096 iords,3968 halo groups,3968 iords,3840 halo groups,3840 iords,3712 halo groups,3712 iords,3606 halo groups,3606 iords,3584 halo groups,3584 iords,3456 halo groups,3456 iords,3328 halo groups,3328 iords,3200 halo groups,3200 iords,3195 halo groups,3195 iords,3072 halo groups,3072 iords,2944 halo groups,2944 iords,2816 halo groups,2816 iords,2688 halo groups,2688 iords,2432 halo groups,2432 iords,2088 halo groups,2088 iords,2048 halo groups,2048 iords,1740 halo groups,1740 iords,1408 halo groups,1408 iords,1280 halo groups,1280 iords,1269 halo groups,1269 iords,1024 halo groups,1024 iords,0974 halo groups,0974 iords,0640 halo groups,0640 iords,0275 halo groups,0275 iords,0225 halo groups,0225 iords,0139 halo groups,0139 iords
0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1.0,101863510.0,1,101863510,1,101863510,5,101863510,4,101863510,5.0,101863510.0
1,3.0,101863565.0,3.0,101863565.0,3.0,101863565.0,3.0,101863565.0,3.0,101863565.0,3.0,101863565.0,3.0,101863565.0,3.0,101863565.0,3.0,101863565.0,3.0,101863565.0,3.0,101863565.0,4.0,101863565.0,4.0,101863565.0,4.0,101863565.0,4.0,101863565.0,4.0,101863565.0,4.0,101863565.0,3.0,101863565.0,3.0,101863565.0,4.0,101863565.0,4.0,101863565.0,4.0,101863565.0,6,101863565,13,101863565,10,101863565,8,101863565,3.0,101863565.0
2,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,1.0,101863726.0,67.0,101863726.0,67.0,101863726.0,42.0,101863726.0,6,101863705,13,101863705,10,101863705,8,101863705,3.0,101863705.0
3,1.0,101863732.0,1.0,101863732.0,1.0,101863732.0,1.0,101863732.0,1.0,101863732.0,1.0,101863732.0,1.0,101863732.0,1.0,101863732.0,1.0,101863732.0,1.0,101863732.0,1.0,101863732.0,1.0,101863732.0,1.0,101863732.0,4.0,101863727.0,4.0,101863727.0,4.0,101863727.0,4.0,101863727.0,3.0,101863727.0,3.0,101863727.0,4.0,101863727.0,4.0,101863727.0,23.0,101863727.0,1,101863726,35,101863726,27,101863726,11,101863726,10.0,101863726.0
4,649.0,101863734.0,631.0,101863734.0,523.0,101863734.0,504.0,101863734.0,503.0,101863734.0,503.0,101863734.0,499.0,101863734.0,484.0,101863734.0,469.0,101863734.0,469.0,101863734.0,488.0,101863734.0,319.0,101863734.0,310.0,101863734.0,1.0,101863732.0,1.0,101863732.0,1.0,101863732.0,1.0,101863732.0,1.0,101863732.0,24.0,101863732.0,1.0,101863732.0,1.0,101863732.0,11.0,101863732.0,22,101863727,22,101863727,7,101863727,5,101863727,8.0,101863727.0
5,6.0,101863739.0,6.0,101863739.0,6.0,101863739.0,6.0,101863739.0,6.0,101863739.0,6.0,101863739.0,6.0,101863739.0,5.0,101863739.0,5.0,101863739.0,5.0,101863739.0,5.0,101863739.0,5.0,101863739.0,5.0,101863739.0,312.0,101863734.0,324.0,101863734.0,325.0,101863734.0,312.0,101863734.0,516.0,101863734.0,109.0,101863734.0,93.0,101863734.0,90.0,101863734.0,97.0,101863734.0,11,101863732,8,101863732,21,101863732,23,101863732,33.0,101863732.0
6,11.0,101863883.0,11.0,101863883.0,10.0,101863883.0,10.0,101863883.0,10.0,101863883.0,10.0,101863883.0,11.0,101863883.0,11.0,101863883.0,10.0,101863883.0,10.0,101863883.0,8.0,101863883.0,10.0,101863883.0,10.0,101863883.0,5.0,101863739.0,5.0,101863739.0,6.0,101863739.0,6.0,101863739.0,6.0,101863739.0,6.0,101863739.0,7.0,101863739.0,7.0,101863739.0,10.0,101863739.0,95,101863734,141,101863734,337,101863734,302,101863734,183.0,101863734.0
7,12.0,101864796.0,12.0,101864796.0,12.0,101864796.0,12.0,101864796.0,12.0,101864796.0,12.0,101864796.0,13.0,101864796.0,13.0,101864796.0,13.0,101864796.0,13.0,101864796.0,12.0,101864796.0,14.0,101864796.0,15.0,101864796.0,10.0,101863883.0,10.0,101863883.0,10.0,101863883.0,10.0,101863883.0,1.0,101863741.0,1.0,101863741.0,1.0,101863741.0,1.0,101863741.0,1.0,101863741.0,10,101863739,26,101863739,19,101863739,27,101863739,14.0,101863739.0
8,1.0,101865286.0,1.0,101865286.0,1.0,101865286.0,1.0,101865286.0,1.0,101865286.0,1.0,101865286.0,1.0,101865286.0,1.0,101865286.0,1.0,101865286.0,1.0,101865286.0,1.0,101865286.0,2.0,101865286.0,2.0,101865286.0,19.0,101864796.0,11.0,101864796.0,11.0,101864796.0,11.0,101864796.0,10.0,101863883.0,1.0,101863769.0,1.0,101863769.0,1.0,101863769.0,1.0,101863769.0,1,101863741,1,101863741,15,101863741,10,101863741,2.0,101863741.0
9,1.0,101865398.0,1.0,101865398.0,170.0,101865398.0,160.0,101865398.0,157.0,101865398.0,158.0,101865398.0,149.0,101865398.0,145.0,101865398.0,131.0,101865398.0,130.0,101865398.0,115.0,101865398.0,1.0,101865398.0,70.0,101865398.0,2.0,101865286.0,2.0,101865286.0,2.0,101865286.0,2.0,101865286.0,11.0,101864796.0,11.0,101863883.0,14.0,101863883.0,14.0,101863883.0,17.0,101863883.0,1,101863769,2,101863769,1,101863769,2,101863769,53.0,101863769.0
10,1.0,101866127.0,1.0,101866127.0,1.0,101866127.0,1.0,101866127.0,1.0,101866127.0,1.0,101866127.0,1.0,101866127.0,1.0,101866127.0,1.0,101866127.0,1.0,101866127.0,1.0,101866127.0,1.0,101866127.0,1.0,101866127.0,65.0,101865398.0,63.0,101865398.0,48.0,101865398.0,47.0,101865398.0,2.0,101865286.0,12.0,101864796.0,12.0,101864796.0,12.0,101864796.0,15.0,101864796.0,16,101863883,44,101863883,41,101863883,26,101863883,19.0,101863883.0
11,5.0,101867516.0,5.0,101867516.0,4.0,101867516.0,4.0,101867516.0,4.0,101867516.0,4.0,101867516.0,4.0,101867516.0,4.0,101867516.0,4.0,101867516.0,4.0,101867516.0,4.0,101867516.0,6.0,101867516.0,6.0,101867516.0,1.0,101866127.0,1.0,101866127.0,1.0,101866127.0,1.0,101866127.0,20.0,101865398.0,2.0,101865286.0,2.0,101865286.0,2.0,101865286.0,2.0,101865286.0,15,101864796,16,101864796,12,101864796,9,101864796,9.0,101864796.0
12,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,101867516.0,6.0,101867516.0,5.0,101867516.0,5.0,101867516.0,1.0,101866127.0,23.0,101865398.0,25.0,101865398.0,24.0,101865398.0,31.0,101865398.0,2,101865286,10,101865286,8,101865286,6,101865286,1.0,101865286.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,101867516.0,1.0,101866127.0,1.0,101866127.0,1.0,101866127.0,1.0,101866127.0,32,101865398,36,101865398,40,101865398,35,101865398,6.0,101865398.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,101867516.0,6.0,101867516.0,6.0,101867516.0,7.0,101867516.0,1,101866127,1,101866127,57,101866127,45,101866127,26.0,101866127.0
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,101867516,9,101867516,3,101867516,3,101867516,,
